example_id,outlier_score_max_abs_pair_ll_change,kept_for_robust
120,31.18890380859375,True
121,38.84515380859375,True
122,71.87451171875,True
123,27.997314453125,True
124,33.47369384765625,True
125,46.66741943359375,True
126,42.1046142578125,True
127,41.90142822265625,True
128,41.6422119140625,True
129,10.010589599609375,True
130,101.53826904296875,True
131,33.69879150390625,True
132,49.15728759765625,True
133,35.47314453125,True
134,46.00921630859375,True
135,61.77471923828125,True
136,83.8505859375,True
137,57.626953125,True
138,71.525146484375,True
139,50.9962158203125,True
140,43.58935546875,True
141,36.6141357421875,True
142,29.6798095703125,True
143,66.05224609375,True
144,57.817138671875,True
145,104.1685791015625,True
146,41.74078369140625,True
147,73.4268798828125,True
148,39.8331298828125,True
149,32.55859375,True
150,50.43609619140625,True
151,38.990478515625,True
152,52.17218017578125,True
153,27.08062744140625,True
154,41.84814453125,True
155,39.88262939453125,True
156,36.86785888671875,True
157,50.1083984375,True
158,45.8167724609375,True
159,26.22735595703125,True
160,56.35150146484375,True
161,60.958984375,True
162,38.88372802734375,True
163,49.07269287109375,True
164,64.96539306640625,True
165,31.6583251953125,True
166,30.05718994140625,True
167,54.70672607421875,True
168,40.5902099609375,True
169,74.984130859375,True
170,29.55169677734375,True
171,16.61541748046875,True
172,48.3922119140625,True
173,80.94430541992188,True
174,92.40045166015625,True
175,40.886871337890625,True
176,43.837646484375,True
177,75.5904541015625,True
178,78.87300048828138,True
179,19.3978271484375,True
180,32.4288330078125,True
181,22.618194580078125,True
182,66.579833984375,True
183,30.7000732421875,True
184,32.63946533203125,True
185,34.072509765625,True
186,41.7301025390625,True
187,50.1856689453125,True
188,69.94061279296875,True
189,55.27020263671875,True
190,64.5177001953125,True
191,37.63079833984375,True
192,78.87300048828138,True
193,87.2911376953125,True
194,48.87530517578125,True
195,21.9818115234375,True
196,32.091552734375,True
197,44.52001953125,True
198,50.76947021484375,True
199,44.316162109375,True
200,56.4725341796875,True
201,67.022705078125,True
202,16.5684814453125,True
203,65.13946533203125,True
204,48.8623046875,True
205,106.89892578125,True
206,43.99725341796875,True
207,28.51287841796875,True
208,35.55712890625,True
209,107.4046630859375,True
210,46.7552490234375,True
211,47.81597900390625,True
212,45.942626953125,True
213,21.8822021484375,True
214,5.5395355224609375,True
215,47.0440673828125,True
216,73.5633544921875,True
217,58.77947998046875,True
218,45.5992431640625,True
219,33.58221435546875,True
220,30.91937255859375,True
221,62.3621826171875,True
222,43.00469970703125,True
223,67.26171875,True
224,60.894287109375,True
225,60.328125,True
226,56.68792724609375,True
227,26.28961181640625,True
228,30.23773193359375,True
229,78.87300048828138,True
230,94.7276611328125,True
231,65.9779052734375,True
232,49.8643798828125,True
233,55.723388671875,True
234,35.5753173828125,True
235,48.0745849609375,True
236,53.45941162109375,True
237,19.75543212890625,True
238,53.55035400390625,True
239,61.91400146484375,True
240,61.62762451171875,True
241,48.56591796875,True
242,54.9188232421875,True
243,46.11444091796875,True
244,62.8570556640625,True
245,30.16162109375,True
246,76.1591796875,True
247,33.745361328125,True
248,55.73809814453125,True
249,55.121826171875,True
250,32.412353515625,True
251,67.8531494140625,True
252,42.5008544921875,True
253,33.070892333984375,True
254,77.02960205078125,True
255,62.41448974609375,True
256,53.940582275390625,True
257,48.30462646484375,True
258,54.95953369140625,True
259,67.71826171875,True
260,21.018234252929688,True
261,55.568115234375,True
262,54.5379638671875,True
263,71.7994384765625,True
264,100.47747802734375,True
265,73.7421875,True
266,49.639404296875,True
267,73.50457763671875,True
268,61.95458984375,True
269,65.1343994140625,True
270,68.4815673828125,True
271,25.58343505859375,True
272,25.1502685546875,True
273,38.035430908203125,True
274,37.124786376953125,True
275,45.25628662109375,True
276,54.56610107421875,True
277,60.139892578125,True
278,50.1434326171875,True
279,77.748046875,True
280,15.254913330078125,True
281,66.17608642578125,True
282,50.90625,True
283,92.53839111328125,True
284,31.52630615234375,True
285,47.213043212890625,True
286,15.566162109375,True
287,53.52825927734375,True
288,60.20501708984375,True
289,81.73040771484375,True
290,91.4005126953125,True
291,31.9730224609375,True
292,58.34112548828125,True
293,48.9107666015625,True
294,49.19903564453125,True
295,62.37823486328125,True
296,49.6051025390625,True
297,41.206787109375,True
298,23.057403564453125,True
299,28.4061279296875,True
300,53.49468994140625,True
301,49.5150146484375,True
302,79.84808349609375,True
303,55.75347900390625,True
304,30.228729248046875,True
305,11.857666015625,True
306,35.4908447265625,True
307,49.2435302734375,True
308,51.9656982421875,True
309,52.46588134765625,True
310,74.82623291015625,True
311,62.41748046875,True
312,23.54913330078125,True
313,119.25100708007812,False
314,10.395294189453125,True
315,59.123291015625,True
316,21.154296875,True
317,39.33685302734375,True
318,51.78448486328125,True
319,13.571853637695312,True
320,40.3984375,True
321,78.9444580078125,True
322,68.73468017578125,True
323,83.57012939453125,True
324,12.53033447265625,True
325,35.9197998046875,True
326,71.44805908203125,True
327,68.07977294921875,True
328,83.29632568359375,True
329,45.8624267578125,True
330,38.23883056640625,True
331,65.24755859375,True
332,60.13189697265625,True
333,27.294921875,True
334,103.849365234375,True
335,15.1966552734375,True
336,41.2762451171875,True
337,54.21551513671875,True
338,70.68408203125,True
339,35.2464599609375,True
340,36.2080078125,True
341,42.035888671875,True
342,74.03826904296875,True
343,53.3863525390625,True
344,75.0560302734375,True
345,47.49041748046875,True
346,49.26348876953125,True
347,24.44927978515625,True
348,49.6446533203125,True
349,43.7506103515625,True
350,48.54669189453125,True
351,29.77008056640625,True
352,59.0,True
353,47.02984619140625,True
354,41.78228759765625,True
355,30.03753662109375,True
356,98.15020751953125,True
357,57.918701171875,True
358,46.23956298828125,True
359,21.00299072265625,True
360,68.433837890625,True
361,19.6912841796875,True
362,78.87300048828138,True
363,27.96063232421875,True
364,48.8394775390625,True
365,35.191009521484375,True
366,36.252777099609375,True
367,33.804412841796875,True
368,14.496780395507812,True
369,37.062255859375,True
370,102.92364501953125,True
371,16.725341796875,True
372,36.4730224609375,True
373,12.095947265625,True
374,23.89569091796875,True
375,44.74713134765625,True
376,33.066650390625,True
377,51.2489013671875,True
378,42.4171142578125,True
379,35.7581787109375,True
380,74.991455078125,True
381,47.783935546875,True
382,76.1759033203125,True
383,77.72329711914062,True
384,58.67559814453125,True
385,48.25872802734375,True
386,33.67181396484375,True
387,55.754180908203125,True
388,44.41058349609375,True
389,25.7891845703125,True
390,33.81280517578125,True
391,86.0423583984375,True
392,20.2396240234375,True
393,19.24859619140625,True
394,78.87300048828138,True
395,33.16766357421875,True
396,49.08929443359375,True
397,50.30145263671875,True
398,22.99188232421875,True
399,15.43902587890625,True
400,46.992431640625,True
401,45.60009765625,True
402,48.6856689453125,True
403,26.15887451171875,True
404,20.36517333984375,True
405,48.54193115234375,True
406,60.19403076171875,True
407,36.2391357421875,True
408,79.96405029296875,True
409,40.130615234375,True
410,36.41796875,True
411,58.43023681640625,True
412,76.39874267578125,True
413,24.14306640625,True
414,71.16943359375,True
415,44.54876708984375,True
416,49.702392578125,True
417,52.175628662109375,True
418,33.4453125,True
419,38.31427001953125,True
420,77.741943359375,True
421,46.130859375,True
422,17.4210205078125,True
423,25.9407958984375,True
424,57.7413330078125,True
425,78.87300048828138,True
426,32.92254638671875,True
427,78.87300048828138,True
428,63.75732421875,True
429,108.9300537109375,True
430,33.94964599609375,True
431,21.73663330078125,True
432,20.910888671875,True
433,27.73828125,True
434,78.16375732421875,True
435,40.8431396484375,True
436,55.5975341796875,True
437,38.46392822265625,True
438,62.9835205078125,True
439,65.63946533203125,True
440,57.00054931640625,True
441,22.833099365234375,True
442,38.74237060546875,True
443,39.75701904296875,True
444,34.910888671875,True
445,21.83966064453125,True
446,51.557952880859375,True
447,113.42193603515625,False
448,35.9593505859375,True
449,69.700927734375,True
450,57.3388671875,True
451,53.157958984375,True
452,36.35369873046875,True
453,28.8043212890625,True
454,63.395263671875,True
455,23.38525390625,True
456,68.064453125,True
457,47.078094482421875,True
458,35.40673828125,True
459,49.3895263671875,True
460,46.08642578125,True
461,45.45294189453125,True
462,41.79095458984375,True
463,25.510009765625,True
464,45.88507080078125,True
465,81.494384765625,True
466,89.48486328125,True
467,23.958251953125,True
468,71.60943603515625,True
469,29.286865234375,True
470,82.10491943359375,True
471,23.54998779296875,True
472,70.662841796875,True
473,29.76898193359375,True
474,43.307159423828125,True
475,76.515625,True
476,54.14373779296875,True
477,65.20526123046875,True
478,63.93597412109375,True
479,53.568359375,True
480,55.1470947265625,True
481,46.9921875,True
482,75.490234375,True
483,77.02545166015625,True
484,51.8216552734375,True
485,74.873046875,True
486,63.2255859375,True
487,17.5723876953125,True
488,32.01708984375,True
489,11.9652099609375,True
490,42.38671875,True
491,79.035888671875,True
492,72.91192626953125,True
493,20.9932861328125,True
494,76.273681640625,True
495,39.9801025390625,True
496,43.7615966796875,True
497,28.889434814453125,True
498,88.87237548828125,True
499,90.7783203125,True
500,62.6839599609375,True
501,33.2939453125,True
502,123.042236328125,False
503,67.8349609375,True
504,27.37066650390625,True
505,26.7349853515625,True
506,35.57794189453125,True
507,28.383056640625,True
508,43.58197021484375,True
509,20.27679443359375,True
510,44.1383056640625,True
511,39.13177490234375,True
512,41.48583984375,True
513,55.3037109375,True
514,28.261932373046875,True
515,94.0054931640625,True
516,118.5015869140625,False
517,57.474700927734375,True
518,24.41754150390625,True
519,74.53643798828125,True
520,26.454345703125,True
521,102.09906005859375,True
522,42.12939453125,True
523,57.6419677734375,True
524,42.99169921875,True
525,48.5579833984375,True
526,72.00860595703125,True
527,46.1304931640625,True
528,54.61358642578125,True
529,49.36798095703125,True
530,37.4495849609375,True
531,78.37017822265625,True
532,71.72967529296875,True
533,65.7333984375,True
534,56.62823486328125,True
535,6.51019287109375,True
536,63.0360107421875,True
537,56.53314208984375,True
538,78.03253173828125,True
539,40.805908203125,True
540,45.28857421875,True
541,22.8416748046875,True
542,68.77764892578125,True
543,52.86138916015625,True
544,47.6427001953125,True
